Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
FIFA 17,PS4,2016,Sports,0.9,6.75,0.09,1.33,9.07,85,41,4.9,442,E
Uncharted 4: A Thiefs End,PS4,2016,Shooter,2.92,2.98,0.19,1.18,7.28,93,113,7.9,7238,T
Call of Duty: Infinite Warfare,PS4,2016,Shooter,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208,M
Battlefield 1,PS4,2016,Shooter,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896,M
Tom Clancys The Division,PS4,2016,Shooter,1.37,1.85,0.15,0.63,4,80,64,7,2234,M
Battlefield 1,XOne,2016,Shooter,2.14,0.97,0.01,0.32,3.44,87,38,8.1,470,M
Final Fantasy XV,PS4,2016,Role-Playing,1.01,1.12,0.81,0.42,3.37,82,102,7.7,2659,T
Overwatch,PS4,2016,Shooter,0.99,1.03,0.16,0.4,2.57,90,31,6.1,1408,T
NBA 2K17,PS4,2016,Sports,1.57,0.37,0.02,0.43,2.39,88,47,6.6,174,E
Far Cry: Primal,PS4,2016,Action,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648,M
Mafia III,PS4,2016,Action,0.48,1.24,0.03,0.32,2.07,68,66,5.1,1194,M
Watch Dogs 2,PS4,2016,Action,0.56,1.1,0.07,0.31,2.04,82,94,7.9,723,M
No Mans Sky,PS4,2016,Action,0.66,0.77,0.03,0.28,1.75,71,94,4.5,5146,T
Dark Souls III,PS4,2016,Role-Playing,0.69,0.47,0.34,0.24,1.74,89,69,8.7,1979,M
Forza Horizon 3,XOne,2016,Racing,0.62,0.85,0.01,0.13,1.61,91,91,7.4,619,E
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208,T
Pokken Tournament,WiiU,2016,Fighting,0.56,0.32,0.18,0.09,1.13,76,74,8,276,E10+
Dishonored 2,PS4,2016,Action,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629,M
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340,T
Titanfall 2,PS4,2016,Shooter,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769,M
Kirby: Planet Robobot,3DS,2016,Action,0.3,0.18,0.5,0.05,1.03,81,71,8.7,92,E
Street Fighter V,PS4,2016,Fighting,0.42,0.28,0.09,0.15,0.94,77,80,3.4,1233,T
Dragon Ball: Xenoverse 2,PS4,2016,Action,0.29,0.38,0.1,0.13,0.91,72,57,7.7,123,T
Lego Star Wars: The Force Awakens,PS4,2016,Action,0.19,0.55,0.01,0.14,0.89,78,61,7.5,91,E10+
LEGO Marvels Avengers,PS4,2016,Action,0.28,0.4,0.01,0.13,0.82,71,70,7,87,E10+
The Last Guardian,PS4,2016,Action,0.25,0.26,0.08,0.1,0.7,82,99,7.6,1410,T
Quantum Break,XOne,2016,Action,0.38,0.2,0.01,0.06,0.64,77,106,6.8,1682,M
Paper Mario: Color Splash,WiiU,2016,Role-Playing,0.29,0.23,0.06,0.05,0.64,76,73,6.9,226,E
Mario Party: Star Rush,3DS,2016,Misc,0.17,0.25,0.11,0.04,0.57,68,38,6.6,18,E
Pro Evolution Soccer 2017,PS4,2016,Sports,0.04,0.34,0.12,0.06,0.56,85,62,7.5,498,E
BioShock The Collection,PS4,2016,Shooter,0.15,0.24,0.02,0.07,0.48,84,39,8.5,221,M
One Piece: Burning Blood,PS4,2016,Fighting,0.12,0.17,0.08,0.06,0.42,66,45,7.8,50,T
Life is Strange,PS4,2016,Adventure,0.16,0.15,0.04,0.06,0.41,85,23,8.6,695,M
World of Final Fantasy,PS4,2016,Role-Playing,0.1,0.17,0.08,0.05,0.4,77,78,8.2,234,E10+
Homefront: The Revolution,PS4,2016,Shooter,0.08,0.22,0.03,0.05,0.38,48,43,3.9,216,M
Star Fox: Zero,WiiU,2016,Shooter,0.18,0.1,0.08,0.03,0.38,69,82,7.4,669,E10+
Mirrors Edge Catalyst,PS4,2016,Platform,0.12,0.17,0.03,0.06,0.37,69,50,4.7,589,T
Battleborn,PS4,2016,Shooter,0.19,0.09,0.02,0.06,0.36,68,55,6.8,405,T
PlayStation VR Worlds,PS4,2016,Misc,0.09,0.15,0.02,0.04,0.3,59,48,7,78,M
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,0.09,0.04,0.08,0.03,0.23,87,49,8.2,181,T
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,0.07,0.03,0.1,0.02,0.23,69,33,7.7,55,T
ReCore,XOne,2016,Action,0.12,0.05,0.01,0.02,0.2,63,75,6.6,457,T
The King of Fighters XIV,PS4,2016,Fighting,0.09,0.02,0.05,0.02,0.18,79,54,8.5,212,T
Dead Island Definitive Collection,PS4,2016,Action,0.05,0.07,0.02,0.02,0.16,63,32,6.4,46,M
RIGS: Mechanized Combat League,PS4,2016,Action,0.05,0.06,0.01,0.02,0.14,78,43,8,79,T
DriveClub VR,PS4,2016,Racing,0.04,0.06,0.01,0.02,0.13,66,35,7.4,112,E
FIFA 16,PS4,2015,Sports,1.13,6.13,0.06,1.28,8.6,82,42,4.3,902,E
Fallout 4,PS4,2015,Role-Playing,2.58,3.42,0.24,1.17,7.41,87,58,6.5,4258,M
Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.13,1.79,0.09,0.79,4.8,86,78,8.1,1289,T
Halo 5: Guardians,XOne,2015,Shooter,2.86,1.29,0.03,0.42,4.61,84,101,6.4,2455,T
Splatoon,WiiU,2015,Shooter,1.56,1.24,1.48,0.26,4.54,81,88,8.5,1189,E10+
Fallout 4,XOne,2015,Role-Playing,2.59,1.37,0.01,0.4,4.37,88,39,6.2,1759,M
