Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Exclude NA
Uncharted 4: A Thiefs End,PS4,2016,Shooter,2.92,2.98,0.19,1.18,7.28,93,113,7.9,7238.0,T,4.36
Call of Duty: Infinite Warfare,PS4,2016,Shooter,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208.0,M,3.65
Battlefield 1,PS4,2016,Shooter,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896.0,M,3.8499999999999996
Tom Clancys The Division,PS4,2016,Shooter,1.37,1.85,0.15,0.63,4.0,80,64,7.0,2234.0,M,2.63
Battlefield 1,XOne,2016,Shooter,2.14,0.97,0.01,0.32,3.44,87,38,8.1,470.0,M,1.2999999999999998
Final Fantasy XV,PS4,2016,Role-Playing,1.01,1.12,0.81,0.42,3.37,82,102,7.7,2659.0,T,2.3600000000000003
Overwatch,PS4,2016,Shooter,0.99,1.03,0.16,0.4,2.57,90,31,6.1,1408.0,T,1.5799999999999998
Far Cry: Primal,PS4,2016,Action,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648.0,M,1.75
Mafia III,PS4,2016,Action,0.48,1.24,0.03,0.32,2.07,68,66,5.1,1194.0,M,1.5899999999999999
Watch Dogs 2,PS4,2016,Action,0.56,1.1,0.07,0.31,2.04,82,94,7.9,723.0,M,1.48
No Mans Sky,PS4,2016,Action,0.66,0.77,0.03,0.28,1.75,71,94,4.5,5146.0,T,1.0899999999999999
Dark Souls III,PS4,2016,Role-Playing,0.69,0.47,0.34,0.24,1.74,89,69,8.7,1979.0,M,1.05
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208.0,T,0.78
Dishonored 2,PS4,2016,Action,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629.0,M,0.6900000000000002
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340.0,T,0.5000000000000001
Titanfall 2,PS4,2016,Shooter,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769.0,M,0.6000000000000001
Street Fighter V,PS4,2016,Fighting,0.42,0.28,0.09,0.15,0.94,77,80,3.4,1233.0,T,0.52
Dragon Ball: Xenoverse 2,PS4,2016,Action,0.29,0.38,0.1,0.13,0.91,72,57,7.7,123.0,T,0.6200000000000001
The Last Guardian,PS4,2016,Action,0.25,0.26,0.08,0.1,0.7,82,99,7.6,1410.0,T,0.44999999999999996
Quantum Break,XOne,2016,Action,0.38,0.2,0.01,0.06,0.64,77,106,6.8,1682.0,M,0.26
BioShock The Collection,PS4,2016,Shooter,0.15,0.24,0.02,0.07,0.48,84,39,8.5,221.0,M,0.32999999999999996
One Piece: Burning Blood,PS4,2016,Fighting,0.12,0.17,0.08,0.06,0.42,66,45,7.8,50.0,T,0.3
